Date,New Daily Cases
01/25/2020,1
01/26/2020,0
01/27/2020,0
01/28/2020,1
01/29/2020,0
01/30/2020,1
01/31/2020,1
02/01/2020,0
02/02/2020,0
02/03/2020,0
02/04/2020,0
02/05/2020,0
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
02/13/2020,0
02/14/2020,0
02/15/2020,0
02/16/2020,0
02/17/2020,0
02/22/2020,2
02/23/2020,0
02/24/2020,0
02/25/2020,1
02/26/2020,0
02/27/2020,0
03/01/2020,2
03/02/2020,0
03/03/2020,0
03/04/2020,1
03/05/2020,0
03/06/2020,1
03/07/2020,1
03/08/2020,2
03/09/2020,3
03/10/2020,2
03/11/2020,5
03/12/2020,10
03/13/2020,15
03/14/2020,5
03/15/2020,7
03/16/2020,17
03/17/2020,37
03/18/2020,30
03/19/2020,33
03/20/2020,43
03/21/2020,46
03/22/2020,73
03/23/2020,56
03/24/2020,64
03/25/2020,58
03/26/2020,54
03/27/2020,106
03/28/2020,78
03/29/2020,54
03/30/2020,88
03/31/2020,58
04/01/2020,63
04/02/2020,59
04/03/2020,22
04/04/2020,29
04/05/2020,26
04/06/2020,33
04/07/2020,24
04/08/2020,13
04/09/2020,12
04/10/2020,24
04/11/2020,6
04/12/2020,8
04/13/2020,9
04/14/2020,4
04/15/2020,5
04/16/2020,7
04/17/2020,14
04/18/2020,13
04/19/2020,1
04/20/2020,5
04/21/2020,1
04/22/2020,1
04/23/2020,5
04/24/2020,3
04/25/2020,3
04/26/2020,1
04/27/2020,3
04/28/2020,3
04/29/2020,7
04/30/2020,5
05/01/2020,10
05/02/2020,11
05/03/2020,21
05/04/2020,14
05/05/2020,16
05/06/2020,15
05/07/2020,13
05/08/2020,12
05/09/2020,8
05/10/2020,5
05/11/2020,16
05/12/2020,7
05/13/2020,9
05/14/2020,19
05/15/2020,13
05/16/2020,5
05/17/2020,6
05/18/2020,7
05/19/2020,5
05/20/2020,5
05/21/2020,10
05/22/2020,9
05/23/2020,2
05/24/2020,2
05/25/2020,5
05/26/2020,8
05/27/2020,10
05/28/2020,6
05/29/2020,8
05/30/2020,8
05/31/2020,4
06/01/2020,9
06/02/2020,7
06/03/2020,8
06/04/2020,3
06/05/2020,1
06/06/2020,4
06/07/2020,2
06/08/2020,
06/09/2020,4
06/10/2020,7
06/11/2020,5
06/12/2020,8
06/13/2020,10
06/14/2020,12
06/15/2020,9
06/16/2020,20
06/17/2020,18
06/18/2020,12
06/19/2020,25
06/20/2020,17
06/21/2020,13
06/22/2020,17
06/23/2020,18
06/24/2020,33
06/25/2020,28
06/26/2020,40
06/27/2020,47
06/28/2020,69
06/29/2020,61
06/30/2020,76
07/01/2020,73
07/02/2020,62
07/03/2020,100
07/04/2020,68
07/05/2020,98
07/06/2020,168
07/07/2020,122
07/08/2020,149
07/09/2020,143
07/10/2020,290
07/11/2020,256
07/12/2020,167
07/13/2020,248
07/14/2020,218
07/15/2020,295
07/16/2020,379
07/17/2020,211
07/18/2020,337
07/19/2020,262
07/20/2020,341
07/21/2020,436
07/22/2020,374
07/23/2020,287
07/24/2020,333
07/25/2020,409
07/26/2020,493
07/27/2020,358
07/28/2020,274
07/29/2020,626
07/30/2020,549
07/31/2020,368
08/01/2020,598
08/02/2020,352
08/03/2020,404
08/04/2020,687
08/05/2020,444
08/06/2020,421
08/07/2020,455
08/08/2020,374
08/09/2020,310
08/10/2020,321
08/11/2020,400
08/12/2020,256
08/13/2020,361
08/14/2020,301
08/15/2020,266
08/16/2020,266
08/17/2020,218
08/18/2020,208
08/19/2020,231
08/20/2020,170
08/21/2020,173
08/22/2020,202
08/23/2020,109
08/24/2020,146
08/25/2020,142
08/26/2020,110
08/27/2020,111
08/28/2020,90
08/29/2020,108
08/30/2020,71
08/31/2020,63
09/01/2020,87
09/02/2020,110
09/03/2020,75
09/04/2020,71
09/05/2020,62
09/06/2020,38
09/07/2020,48
09/08/2020,70
09/09/2020,47
09/10/2020,40
09/11/2020,35
09/12/2020,41
09/13/2020,30
09/14/2020,39
09/15/2020,41
09/16/2020,25
09/17/2020,45
09/18/2020,20
09/19/2020,13
09/20/2020,11
09/21/2020,28
09/22/2020,14
09/23/2020,11
09/24/2020,13
09/25/2020,12
09/26/2020,16
09/27/2020,5
09/28/2020,9
09/29/2020,10
09/30/2020,14
10/01/2020,5
10/02/2020,9
10/03/2020,10
10/04/2020,8
10/05/2020,14
10/06/2020,5
10/07/2020,9
10/08/2020,10
10/09/2020,14
10/10/2020,12
10/11/2020,14
10/12/2020,11
10/13/2020,5
10/14/2020,6
10/15/2020,2
10/16/2020,1
10/17/2020,2
10/18/2020,4
10/19/2020,1
10/20/2020,3
10/21/2020,5
10/22/2020,1
