Date,New Daily Cases,cumulative cases
01/25/2020,1,1
01/26/2020,0,1
01/27/2020,0,1
01/28/2020,1,2
01/29/2020,0,2
01/30/2020,1,3
01/31/2020,1,4
01/02/2020,0,4
02/02/2020,0,4
03/02/2020,0,4
04/02/2020,0,4
05/02/2020,0,4
06/02/2020,0,4
07/02/2020,0,4
08/02/2020,0,4
09/02/2020,0,4
10/02/2020,0,4
11/02/2020,0,4
12/02/2020,0,4
02/13/2020,0,4
02/14/2020,0,4
02/15/2020,0,4
02/16/2020,0,4
02/17/2020,0,4
02/22/2020,2,6
02/23/2020,0,6
02/24/2020,0,6
02/25/2020,1,7
02/26/2020,0,7
02/27/2020,0,7
01/03/2020,2,9
02/03/2020,0,9
03/03/2020,0,9
04/03/2020,1,10
05/03/2020,0,10
06/03/2020,1,11
07/03/2020,1,12
08/03/2020,2,14
09/03/2020,3,17
10/03/2020,2,19
11/03/2020,5,24
12/03/2020,10,34
03/13/2020,15,49
03/14/2020,5,54
03/15/2020,7,61
03/16/2020,17,78
03/17/2020,37,115
03/18/2020,30,145
03/19/2020,33,178
03/20/2020,43,221
03/21/2020,46,267
03/22/2020,73,340
03/23/2020,56,396
03/24/2020,64,460
03/25/2020,58,518
03/26/2020,54,572
03/27/2020,106,678
03/28/2020,78,756
03/29/2020,54,810
03/30/2020,88,898
03/31/2020,58,956
01/04/2020,63,1019
02/04/2020,59,1078
03/04/2020,22,1100
04/04/2020,29,1129
05/04/2020,26,1155
06/04/2020,33,1188
07/04/2020,24,1212
08/04/2020,13,1225
09/04/2020,12,1237
10/04/2020,24,1261
11/04/2020,6,1267
12/04/2020,8,1275
04/13/2020,9,1284
04/14/2020,4,1288
04/15/2020,5,1293
04/16/2020,7,1300
04/17/2020,14,1314
04/18/2020,13,1327
04/19/2020,1,1328
04/20/2020,5,1333
04/21/2020,1,1334
04/22/2020,1,1335
04/23/2020,5,1340
04/24/2020,3,1343
04/25/2020,3,1346
04/26/2020,1,1347
04/27/2020,3,1350
04/28/2020,3,1353
04/29/2020,7,1360
04/30/2020,5,1365
01/05/2020,10,1375
02/05/2020,11,1386
03/05/2020,21,1407
04/05/2020,14,1421
05/05/2020,16,1437
06/05/2020,15,1452
07/05/2020,13,1465
08/05/2020,12,1477
09/05/2020,8,1485
10/05/2020,5,1490
11/05/2020,16,1506
12/05/2020,7,1513
05/13/2020,9,1522
05/14/2020,19,1541
05/15/2020,13,1554
05/16/2020,5,1559
05/17/2020,6,1565
05/18/2020,7,1572
05/19/2020,5,1577
05/20/2020,5,1582
05/21/2020,10,1592
05/22/2020,9,1601
05/23/2020,2,1603
05/24/2020,2,1605
05/25/2020,5,1610
05/26/2020,8,1618
05/27/2020,10,1628
05/28/2020,6,1634
05/29/2020,8,1642
05/30/2020,8,1650
05/31/2020,4,1654
01/06/2020,9,1663
02/06/2020,7,1670
03/06/2020,8,1678
04/06/2020,3,1681
05/06/2020,1,1682
06/06/2020,4,1686
07/06/2020,2,1688
08/06/2020,,1688
09/06/2020,4,1692
10/06/2020,7,1699
11/06/2020,5,1704
12/06/2020,8,1712
06/13/2020,10,1722
06/14/2020,12,1734
06/15/2020,9,1743
06/16/2020,20,1763
06/17/2020,18,1781
06/18/2020,12,1793
06/19/2020,25,1818
06/20/2020,17,1835
06/21/2020,13,1848
06/22/2020,17,1865
06/23/2020,18,1883
06/24/2020,33,1916
06/25/2020,28,1944
06/26/2020,40,1984
06/27/2020,47,2031
06/28/2020,69,2100
06/29/2020,61,2161
06/30/2020,76,2237
01/07/2020,73,2310
02/07/2020,62,2372
03/07/2020,100,2472
04/07/2020,68,2540
05/07/2020,98,2638
06/07/2020,168,2806
07/07/2020,122,2928
08/07/2020,149,3077
09/07/2020,143,3220
10/07/2020,290,3510
11/07/2020,256,3766
12/07/2020,167,3933
07/13/2020,248,4181
07/14/2020,218,4399
07/15/2020,295,4694
07/16/2020,379,5073
07/17/2020,211,5284
07/18/2020,337,5621
07/19/2020,262,5883
07/20/2020,341,6224
07/21/2020,436,6660
07/22/2020,374,7034
07/23/2020,287,7321
07/24/2020,333,7654
07/25/2020,409,8063
07/26/2020,493,8556
07/27/2020,358,8914
07/28/2020,274,9188
07/29/2020,626,9814
07/30/2020,549,10363
07/31/2020,368,10731
01/08/2020,598,11329
02/08/2020,352,11681
03/08/2020,404,12085
04/08/2020,687,12772
05/08/2020,444,13216
06/08/2020,421,13637
07/08/2020,455,14092
08/08/2020,374,14466
09/08/2020,310,14776
10/08/2020,321,15097
11/08/2020,400,15497
12/08/2020,256,15753
08/13/2020,361,16114
08/14/2020,301,16415
08/15/2020,266,16681
08/16/2020,266,16947
08/17/2020,218,17165
08/18/2020,208,17373
08/19/2020,231,17604
08/20/2020,170,17774
08/21/2020,173,17947
08/22/2020,202,18149
08/23/2020,109,18258
08/24/2020,146,18404
08/25/2020,142,18546
08/26/2020,110,18656
08/27/2020,111,18767
08/28/2020,90,18857
08/29/2020,108,18965
08/30/2020,71,19036
08/31/2020,63,19099
01/09/2020,87,19186
02/09/2020,110,19296
03/09/2020,75,19371
04/09/2020,71,19442
05/09/2020,62,19504
06/09/2020,38,19542
07/09/2020,48,19590
08/09/2020,70,19660
09/09/2020,47,19707
10/09/2020,40,19747
11/09/2020,35,19782
12/09/2020,41,19823
09/13/2020,30,19853
09/14/2020,39,19892
09/15/2020,41,19933
09/16/2020,25,19958
09/17/2020,45,20003
09/18/2020,20,20023
09/19/2020,13,20036
09/20/2020,11,20047
09/21/2020,28,20075
09/22/2020,14,20089
09/23/2020,11,20100
09/24/2020,13,20113
09/25/2020,12,20125
09/26/2020,16,20141
09/27/2020,5,20146
09/28/2020,9,20155
09/29/2020,10,20165
09/30/2020,14,20179
01/10/2020,5,20184
02/10/2020,9,20193
03/10/2020,10,20203
04/10/2020,8,20211
05/10/2020,14,20225
06/10/2020,5,20230
07/10/2020,9,20239
08/10/2020,10,20249
09/10/2020,14,20263
10/10/2020,12,20275
11/10/2020,14,20289
12/10/2020,11,20300
10/13/2020,5,20305
10/14/2020,6,20311
10/15/2020,2,20313
10/16/2020,1,20314
10/17/2020,2,20316
10/18/2020,4,20320
10/19/2020,1,20321
10/20/2020,3,20324
10/21/2020,5,20329
10/22/2020,1,20330
10/23/2020,5,20335
10/24/2020,7,20342
10/25/2020,0,20342
10/26/2020,0,20342
10/27/2020,2,20344
10/28/2020,2,20346
10/29/2020,3,20349
10/30/2020,1,20350
