Date,cumulative cases
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,0
01/27/2020,0
01/28/2020,0
01/29/2020,0
01/30/2020,0
01/31/2020,0
02/01/2020,0
02/02/2020,0
02/03/2020,0
02/04/2020,0
02/05/2020,0
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
02/13/2020,0
02/14/2020,0
02/15/2020,0
02/16/2020,1
02/17/2020,1
02/18/2020,1
02/19/2020,1
02/20/2020,2
02/21/2020,2
02/22/2020,2
02/23/2020,2
02/24/2020,2
02/25/2020,2
02/26/2020,2
02/27/2020,2
02/28/2020,2
02/29/2020,2
03/01/2020,2
03/02/2020,6
03/03/2020,8
03/04/2020,10
03/05/2020,12
03/06/2020,16
03/07/2020,17
03/08/2020,19
03/09/2020,22
03/10/2020,28
03/11/2020,40
03/12/2020,54
03/13/2020,64
03/14/2020,73
03/15/2020,88
03/16/2020,109
03/17/2020,132
03/18/2020,164
03/19/2020,196
03/20/2020,229
03/21/2020,261
03/22/2020,288
03/23/2020,315
03/24/2020,344
03/25/2020,366
03/26/2020,396
03/27/2020,420
03/28/2020,434
03/29/2020,443
03/30/2020,451
03/31/2020,461
04/01/2020,479
04/02/2020,488
04/03/2020,498
04/04/2020,504
04/05/2020,510
04/06/2020,515
04/07/2020,521
04/08/2020,526
04/09/2020,534
04/10/2020,536
04/11/2020,538
04/12/2020,541
04/13/2020,543
04/14/2020,545
04/15/2020,546
04/16/2020,550
04/17/2020,550
04/18/2020,550
04/19/2020,550
04/20/2020,550
04/21/2020,550
04/22/2020,550
04/23/2020,550
04/24/2020,551
04/25/2020,551
04/26/2020,552
04/27/2020,552
04/28/2020,552
04/29/2020,552
04/30/2020,552
05/01/2020,552
05/02/2020,552
05/03/2020,552
05/04/2020,552
05/05/2020,552
05/06/2020,553
05/07/2020,553
05/08/2020,553
05/09/2020,553
05/10/2020,555
05/11/2020,555
05/12/2020,556
05/13/2020,557
05/14/2020,558
05/15/2020,563
05/16/2020,564
05/17/2020,565
05/18/2020,569
05/19/2020,569
05/20/2020,571
05/21/2020,576
05/22/2020,578
05/23/2020,579
05/24/2020,581
05/25/2020,583
05/26/2020,583
05/27/2020,583
05/28/2020,584
05/29/2020,585
05/30/2020,585
05/31/2020,585
06/01/2020,586
06/02/2020,586
06/03/2020,591
06/04/2020,591
06/05/2020,591
06/06/2020,591
06/07/2020,591
06/08/2020,591
06/09/2020,591
06/10/2020,593
06/11/2020,593
06/12/2020,593
06/13/2020,593
06/14/2020,594
06/15/2020,594
06/16/2020,594
06/17/2020,594
06/18/2020,595
06/19/2020,596
06/20/2020,596
06/21/2020,597
06/22/2020,597
06/23/2020,597
06/24/2020,597
06/25/2020,597
06/26/2020,599
06/27/2020,599
06/28/2020,599
06/29/2020,599
06/30/2020,599
07/01/2020,601
07/02/2020,602
07/03/2020,608
07/04/2020,610
07/05/2020,610
07/06/2020,616
07/07/2020,618
07/08/2020,621
07/09/2020,624
07/10/2020,625
07/11/2020,625
07/12/2020,626
07/13/2020,634
07/14/2020,636
07/15/2020,636
07/16/2020,636
07/17/2020,636
07/18/2020,637
07/19/2020,637
07/20/2020,637
07/21/2020,637
07/22/2020,637
07/23/2020,637
07/24/2020,638
07/25/2020,638
07/26/2020,639
07/27/2020,641
07/28/2020,642
07/29/2020,642
07/30/2020,642
07/31/2020,642
08/01/2020,642
08/02/2020,642
08/03/2020,642
08/04/2020,642
08/05/2020,642
08/06/2020,642
08/07/2020,642
08/08/2020,642
08/09/2020,644
08/10/2020,645
08/11/2020,645
08/12/2020,646
08/13/2020,646
08/14/2020,646
08/15/2020,647
08/16/2020,647
08/17/2020,651
08/18/2020,651
08/19/2020,651
08/20/2020,652
08/21/2020,652
08/22/2020,653
08/23/2020,653
08/24/2020,653
08/25/2020,653
08/26/2020,655
08/27/2020,655
08/28/2020,655
08/29/2020,655
08/30/2020,655
08/31/2020,655
09/01/2020,656
09/02/2020,656
09/03/2020,656
09/04/2020,656
09/05/2020,657
09/06/2020,658
09/07/2020,658
09/08/2020,659
09/09/2020,659
09/10/2020,659
09/11/2020,659
09/12/2020,660
09/13/2020,660
09/14/2020,661
09/15/2020,662
09/16/2020,662
09/17/2020,664
09/18/2020,666
09/19/2020,666
09/20/2020,668
09/21/2020,671
09/22/2020,673
09/23/2020,675
09/24/2020,678
09/25/2020,681
09/26/2020,684
09/27/2020,684
09/28/2020,684
09/29/2020,685
09/30/2020,687
10/01/2020,687
10/02/2020,687
10/03/2020,687
10/04/2020,688
10/05/2020,689
10/06/2020,690
10/07/2020,692
10/08/2020,693
10/09/2020,695
10/10/2020,696
10/11/2020,704
10/12/2020,705
10/13/2020,710
10/14/2020,711
10/15/2020,712
10/16/2020,715
10/17/2020,715
10/18/2020,739
10/19/2020,742
10/20/2020,748
10/21/2020,753
10/22/2020,757
10/23/2020,760
10/24/2020,762
10/25/2020,764
10/26/2020,764
10/27/2020,765
10/28/2020,767
10/29/2020,767
10/30/2020,767
10/31/2020,768
