date,cases
25-Jan-20,1
26-Jan-20,0
27-Jan-20,0
28-Jan-20,1
29-Jan-20,0
30-Jan-20,1
31-Jan-20,1
1-Feb-20,0
2-Feb-20,0
3-Feb-20,0
4-Feb-20,0
5-Feb-20,0
6-Feb-20,0
7-Feb-20,0
8-Feb-20,0
9-Feb-20,0
10-Feb-20,0
11-Feb-20,0
12-Feb-20,0
13-Feb-20,0
14-Feb-20,0
15-Feb-20,0
16-Feb-20,0
17-Feb-20,0
22-Feb-20,2
23-Feb-20,0
24-Feb-20,0
25-Feb-20,1
26-Feb-20,0
27-Feb-20,0
1-Mar-20,2
2-Mar-20,0
3-Mar-20,0
4-Mar-20,1
5-Mar-20,0
6-Mar-20,1
7-Mar-20,1
8-Mar-20,2
9-Mar-20,3
10-Mar-20,2
11-Mar-20,5
12-Mar-20,10
13-Mar-20,15
14-Mar-20,5
15-Mar-20,7
16-Mar-20,17
17-Mar-20,37
18-Mar-20,30
19-Mar-20,33
20-Mar-20,43
21-Mar-20,46
22-Mar-20,73
23-Mar-20,56
24-Mar-20,64
25-Mar-20,58
26-Mar-20,54
27-Mar-20,106
28-Mar-20,78
29-Mar-20,54
30-Mar-20,88
31-Mar-20,58
"April 1, 2020",63
"April 2, 2020",59
"April 3, 2020",22
"April 4, 2020",29
"April 5, 2020",26
"April 6, 2020",33
"April 7, 2020",24
"April 8, 2020",13
"April 9, 2020",12
"April 10, 2020",24
"April 11, 2020",6
"April 12, 2020",8
"April 13, 2020",9
"April 14, 2020",4
"April 15, 2020",5
"April 16, 2020",7
"April 17, 2020",14
"April 18, 2020",13
"April 19, 2020",1
"April 20, 2020",5
"April 21, 2020",1
"April 22, 2020",1
"April 23, 2020",5
"April 24, 2020",3
"April 25, 2020",3
"April 26, 2020",1
"April 27, 2020",3
"April 28, 2020",3
"April 29, 2020",7
"April 30, 2020",5
1-May-20,10
2-May-20,11
3-May-20,21
4-May-20,14
5-May-20,16
6-May-20,15
7-May-20,13
8-May-20,12
9-May-20,8
10-May-20,5
11-May-20,16
12-May-20,7
13-May-20,9
14-May-20,19
15-May-20,13
16-May-20,5
17-May-20,6
18-May-20,7
19-May-20,5
20-May-20,5
21-May-20,10
22-May-20,9
23-May-20,2
24-May-20,2
25-May-20,5
26-May-20,8
27-May-20,10
28-May-20,6
29-May-20,8
30-May-20,8
31-May-20,4
1-Jun-20,9
2-Jun-20,7
3-Jun-20,8
4-Jun-20,3
5-Jun-20,1
6-Jun-20,4
7-Jun-20,2
8-Jun-20,
9-Jun-20,4
10-Jun-20,7
11-Jun-20,5
12-Jun-20,8
13-Jun-20,10
14-Jun-20,12
15-Jun-20,9
16-Jun-20,20
17-Jun-20,18
18-Jun-20,12
19-Jun-20,25
20-Jun-20,17
21-Jun-20,13
22-Jun-20,17
23-Jun-20,18
24-Jun-20,33
25-Jun-20,28
26-Jun-20,40
27-Jun-20,47
28-Jun-20,69
29-Jun-20,61
30-Jun-20,76
1-Jul-20,73
2-Jul-20,62
3-Jul-20,100
4-Jul-20,68
5-Jul-20,98
6-Jul-20,168
7-Jul-20,122
8-Jul-20,149
9-Jul-20,143
10-Jul-20,290
11-Jul-20,256
12-Jul-20,167
13-Jul-20,248
14-Jul-20,218
15-Jul-20,295
16-Jul-20,378
17-Jul-20,212
18-Jul-20,337
19-Jul-20,262
20-Jul-20,341
21-Jul-20,436
22-Jul-20,374
23-Jul-20,287
24-Jul-20,333
25-Jul-20,409
26-Jul-20,493
27-Jul-20,358
28-Jul-20,274
29-Jul-20,626
30-Jul-20,549
31-Jul-20,368
1-Aug-20,598
2-Aug-20,352
3-Aug-20,404
4-Aug-20,687
5-Aug-20,444
6-Aug-20,421
7-Aug-20,455
8-Aug-20,374
9-Aug-20,310
10-Aug-20,321
11-Aug-20,400
12-Aug-20,256
13-Aug-20,361
14-Aug-20,301
15-Aug-20,266
16-Aug-20,266
17-Aug-20,218
18-Aug-20,208
19-Aug-20,231
20-Aug-20,170
21-Aug-20,173
22-Aug-20,202
23-Aug-20,109
24-Aug-20,146
25-Aug-20,142
26-Aug-20,110
27-Aug-20,111
28-Aug-20,90
29-Aug-20,108
30-Aug-20,71
31-Aug-20,63
1-Sep-20,87
2-Sep-20,110
3-Sep-20,75
4-Sep-20,71
5-Sep-20,62
6-Sep-20,38
7-Sep-20,48
8-Sep-20,70
9-Sep-20,47
10-Sep-20,40
11-Sep-20,35
12-Sep-20,41
13-Sep-20,30
14-Sep-20,39
15-Sep-20,41
16-Sep-20,25
17-Sep-20,45
18-Sep-20,20
19-Sep-20,13
20-Sep-20,11
21-Sep-20,28
22-Sep-20,14
23-Sep-20,11
24-Sep-20,13
25-Sep-20,12
26-Sep-20,16
27-Sep-20,5
28-Sep-20,9
29-Sep-20,10
30-Sep-20,14
1-Oct-20,5
2-Oct-20,9
3-Oct-20,10
4-Oct-20,8
5-Oct-20,14
6-Oct-20,5
7-Oct-20,9
8-Oct-20,10
9-Oct-20,14
10-Oct-20,11
11-Oct-20,14
12-Oct-20,11
13-Oct-20,5
14-Oct-20,6
15-Oct-20,2
16-Oct-20,1
17-Oct-20,2
18-Oct-20,4
